qid,question,category,difficulty,persona,answerable,gold_doc_ids,reference_answer,eval_notes
Q001,What is the standard lead time for Vector Bearings GmbH?,single_fact,easy,procurement,true,SUP-103,45 days.,Basic single-document fact lookup.
Q002,What material is the PRT-2002 housing cover made from?,single_fact,easy,design_engineer,true,SPEC-2002,PA66 (nylon 6/6).,Single-fact retrieval; must not confuse with the PTFE gasket PRT-2006.
Q003,What is the diameter tolerance of the PRT-2001 drive shaft?,single_fact,easy,design_engineer,true,SPEC-2001,+/-0.02 mm.,Single-fact numeric retrieval.
Q004,How long was the downtime recorded in work order WO-5002?,single_fact,easy,maintenance,true,WO-5002,6.0 hours.,Single-fact retrieval keyed on an explicit record ID.
Q005,What is the dynamic load rating of the PRT-2003 precision bearing?,single_fact,easy,design_engineer,true,SPEC-2003,12.5 kN.,Single-fact spec retrieval.
Q006,Where is Crescent Fasteners Co. located?,single_fact,easy,procurement,true,SUP-104,"Monterrey, Mexico.",Single-fact firmographic retrieval.
Q007,What is the lead time of the supplier that provides the bearing used on the Cyclops lathe?,multi_hop,hard,procurement,true,SPEC-2003;SUP-103,"45 days. Cyclops is MCH-301, which uses bearing PRT-2003, supplied by Vector Bearings (SUP-103), whose lead time is 45 days.",3-hop: machine codename -> part -> supplier -> lead time.
Q008,"What raw material is the drive shaft on the PEGASUS line made from, and who supplies that material?",multi_hop,hard,design_engineer,true,SPEC-2001;SUP-101,"4140 alloy steel, supplied by Titan Alloys (SUP-101). PEGASUS = Line A, whose drive shaft is PRT-2001, made of 4140 steel sourced from SUP-101.",Multi-hop: line codename -> part -> material -> supplier.
Q009,The part replaced in work order WO-5001 — who supplies it and what is its rated speed?,multi_hop,medium,maintenance,true,WO-5001;SPEC-2003,"The replaced part is the PRT-2003 bearing, supplied by Vector Bearings (SUP-103), with a rated speed of 12000 rpm.",Multi-hop: work order -> part -> spec/supplier.
Q010,"Which troubleshooting guide applies to the failure mode behind WO-5002, and what part did that failure scrap?",multi_hop,hard,quality,true,WO-5002;NCR-7002;TG-001,"WO-5002 was a heater-band failure that caused short shots; troubleshooting guide TG-001 covers short shots, and NCR-7002 records the scrapped part PRT-2002 (housing cover).","Multi-hop across work order, NCR, and troubleshooting guide."
Q011,What is the OEE of the machine that molds the REDFOX housing cover?,multi_hop,medium,plant_manager,true,SPEC-2002;TEL-302,"76.5%. The REDFOX housing cover (PRT-2002) is molded on Hydra (MCH-302), whose OEE in TEL-302 is 76.5%.",Multi-hop: program/part -> machine -> telemetry OEE.
Q012,How many work orders were logged against the Cyclops lathe (MCH-301)?,aggregation_count,medium,maintenance,true,WO-5001;WO-5004,2 (WO-5001 and WO-5004).,Counting/aggregation across the work-order set for one asset.
Q013,How many of the approved suppliers are based in the United States?,aggregation_count,medium,procurement,true,SUP-101;SUP-102;SUP-103;SUP-104;SUP-105,"3 — Titan Alloys (OH), Pacific Polymers (OR), and Lumen Sensors (CA). Vector Bearings (Germany) and Crescent Fasteners (Mexico) are not.",Count requires filtering by location across all supplier docs.
Q014,How many distinct parts does Pacific Polymers (SUP-102) supply?,aggregation_count,medium,procurement,true,SPEC-2002;SPEC-2006,2 — the PRT-2002 housing cover (PA66) and the PRT-2006 gasket (PTFE).,Aggregation across part specs by supplier.
Q015,How many non-conformance reports (NCRs) are in the knowledge base?,aggregation_count,medium,quality,true,NCR-7001;NCR-7002;NCR-7004,"3 NCR records (NCR-7001, NCR-7002, NCR-7004). Note NCR-7004 is a suspected duplicate of NCR-7001.",Counting documents of a type; duplicate record complicates the count.
Q016,How many machines does the LOTO procedure SOP-020 explicitly apply to?,aggregation_count,easy,maintenance,true,SOP-020,"4 — Cyclops (MCH-301), Hydra (MCH-302), Goliath (MCH-303), and Atlas (MCH-304).",Count of entities listed within a single document.
Q017,"Which has the longer lead time, Vector Bearings or Pacific Polymers?",comparison,easy,procurement,true,SUP-103;SUP-102,Vector Bearings (45 days) is longer than Pacific Polymers (35 days).,Two-document numeric comparison.
Q018,"Which material has higher ultimate tensile strength, 4140 steel or 6061 aluminum?",comparison,medium,design_engineer,true,MAT-4140;MAT-AL6061,4140 steel (655 MPa) is much higher than 6061 aluminum (310 MPa).,Cross-datasheet property comparison.
Q019,"Between Line A and Line B, which had the higher Q1 first-pass yield?",comparison,easy,quality,true,QR-7003,Line B (KRAKEN) at 96.5% was higher than Line A (PEGASUS) at 94.2%.,Comparison read from a single summary table.
Q020,"Which machine had the lower OEE, Cyclops or Hydra?",comparison,medium,plant_manager,true,TEL-301;TEL-302,Hydra (MCH-302) at 76.5% had a lower OEE than Cyclops (MCH-301) at 82.3%.,Comparison across two telemetry docs using codenames.
Q021,What is the total line-item cost of purchase order PO-9001?,numeric_calculation,medium,procurement,true,PO-9001,"USD 8,500.00 (200 units x USD 42.50).",Arithmetic over quantity and unit price in one PO.
Q022,What was the total maintenance downtime across all work orders on the Cyclops lathe?,numeric_calculation,medium,maintenance,true,WO-5001;WO-5004,6.0 hours (4.5 h from WO-5001 + 1.5 h from WO-5004).,Sum across multiple records for one asset.
